last_name,first_name,middle_name,suffix,nickname,full_name,birthday,gender,type,state,district,senate_class,party,address,bioguide_id,thomas_id,opensecrets_id,lis_id,fec_ids,cspan_id,govtrack_id
English,Karan,,,,,1949-03-23,F,rep,AZ,6,,Democrat,,E000186,346,,,,,403875
Hare,Phil,,,,,1949-02-21,M,rep,IL,17,,Democrat,,H001040,1849,N00028234,,H6IL17155,1021566,412204
Downey,Thomas,Joseph,,,,1949-01-28,M,rep,NY,2,,Democrat,,D000471,314,,,,,403581
Musgrave,Marilyn,N.,,,,1949-01-27,F,rep,CO,4,,Republican,,M001152,1711,N00025054,,H2CO04045,,400287
Gordon,Barton,Jennings,,Bart,,1949-01-24,M,rep,TN,6,,Democrat,,G000309,448,N00003126,,H4TN04015,5452,400155
Owens,William,L.,,,William L. Owens,1949-01-20,M,rep,NY,21,,Democrat,405 Cannon HOB; Washington DC 20515-3221,O000169,1974,N00031011,,H0NY23081,9265845,412383
Davis,Thomas,M.,III,Tom,,1949-01-05,M,rep,VA,11,,Republican,,D000136,274,N00002045,,H4VA11020,,400098
Karnes,David,Kemp,,,,1948-12-12,M,sen,NE,,1,Republican,,K000011,1374,,,,,406183
Hertel,Dennis,Mark,,,,1948-12-07,M,rep,MI,14,,Democrat,,H000547,534,,,,,405409
Nickles,Don,,,,,1948-12-06,M,sen,OK,,3,Republican,,N000102,1412,N00005617,S158,,,300079
Dyson,Royden,Patrick,,,,1948-11-15,M,rep,MD,1,,Democrat,,D000593,329,,,,,403696
Burns,Max,,,,,1948-11-08,M,rep,GA,12,,Republican,,B001249,1721,N00025597,,,,400053
Barr,Bob,,,,,1948-11-05,M,rep,GA,7,,Republican,,B000169,56,N00002526,,,,400514
Curson,David,Alan,,,David Alan Curson,1948-11-04,M,rep,MI,11,,Democrat,2243 Rayburn HOB; Washington DC 20515-2211,C001089,2095,N00034982,,H2MI11190,,412504
Mfume,Kweisi,,,,,1948-10-24,M,rep,MD,7,,Democrat,,M000687,798,,,,,407672
Borski,Robert,A.,,,,1948-10-20,M,rep,PA,3,,Democrat,,B000644,111,,,,,400542
Miller,Gary,G.,,,Gary G. Miller,1948-10-16,M,rep,CA,31,,Republican,2467 Rayburn HOB; Washington DC 20515-0531,M001139,1584,N00006954,,H8CA41063,57888,400277
Holt,Rush,D.,,,Rush Holt,1948-10-15,M,rep,NJ,12,,Democrat,1214 Longworth HOB; Washington DC 20515-3012,H001032,1580,N00000860,,H6NJ12144,57967,400184
Hamburg,Daniel,,,,,1948-10-06,M,rep,CA,1,,Democrat,,H000096,488,,,,,404978
Schwartz,Allyson,Y.,,,Allyson Y. Schwartz,1948-10-03,F,rep,PA,13,,Democrat,1227 Longworth HOB; Washington DC 20515-3813,S001162,1798,N00001579,,"H4PA13124,S8PA00163",57332,400647
McHugh,John,M.,,,,1948-09-29,M,rep,NY,23,,Republican,,M000472,773,N00001276,,H2NY24036,,400264
Orton,William,,,,,1948-09-22,M,rep,UT,3,,Democrat,,O000108,881,,,,,408364
Beauprez,Bob,,,,,1948-09-22,M,rep,CO,7,,Republican,,B001240,1712,N00025443,,,,400020
Maloney,James,,,,,1948-09-17,M,rep,CT,5,,Democrat,,M000090,1502,,,,,400508
Bryant,Ed,,,,,1948-09-07,M,rep,TN,7,,Republican,,B000996,141,,,,,400549
Emery,David,Farnham,,,,1948-09-01,M,rep,ME,1,,Republican,,E000175,343,,,,,403865
Slattery,James,Charles,,,,1948-08-04,M,rep,KS,2,,Democrat,,S000477,1067,,,,,409966
Hall,John,J.,,,,1948-07-23,M,rep,NY,19,,Democrat,,H001039,1865,N00027888,,H6NY19144,1022042,412222
Lehman,Richard,Henry,,,,1948-07-20,M,rep,CA,19,,Democrat,,L000225,679,,,,,406729
Latham,Tom,P.,,,Tom Latham,1948-07-14,M,rep,IA,3,,Republican,2217 Rayburn HOB; Washington DC 20515-1503,L000111,666,N00004227,,H4IA05102,36609,400234
Machtley,Ronald,K.,,,,1948-07-13,M,rep,RI,1,,Republican,,M000015,720,,,,,407044
Underwood,Robert,A.,,,,1948-07-13,M,rep,GU,0,,Democrat,,U000014,1175,,,,,400516
Grandy,Frederick,Lawrence,,,,1948-06-29,M,rep,IA,5,,Republican,,G000371,455,,,,,404723
Hunter,Duncan,L.,,,,1948-05-31,M,rep,CA,52,,Republican,,H000981,575,N00006983,,H2CA42023,,400191
Baker,Richard,Hugh,,,,1948-05-22,M,rep,LA,6,,Republican,,B000072,47,N00005407,,H6LA06083,,400012
McKernan,John,Rettie,Jr.,,,1948-05-20,M,rep,ME,1,,Republican,,M000512,779,,,,,407506
Gejdenson,Sam,,,,,1948-05-20,M,rep,CT,2,,Democrat,,G000120,431,,,,,400585
Weygand,Robert,A.,,,,1948-05-10,M,rep,RI,2,,Democrat,,W000315,1538,,,,,400613
Sikorski,Gerald,Edward,,,,1948-04-26,M,rep,MN,6,,Democrat,,S000407,1057,,,,,409901
Condit,Gary,,,,,1948-04-21,M,rep,CA,18,,Democrat,,C000670,226,,,,,400505
Atkins,Chester,Greenough,,,,1948-04-14,M,rep,MA,5,,Democrat,,A000226,34,,,,,400975
Gore,Albert,Arnold,Jr.,,,1948-03-31,M,sen,TN,,2,Democrat,,G000321,449,,S170,,,404679
Marshall,James,,,Jim,,1948-03-31,M,rep,GA,8,,Democrat,,M001146,1718,N00009635,,H0GA08032,1003563,400254
Coburn,Thomas,A.,,,Tom Coburn,1948-03-14,M,sen,OK,,3,Republican,172 Russell Senate Office Building Washington DC 20510,C000560,212,N00005601,S301,"S4OK00174,H4OK02048",36751,400576
Conrad,Kent,Kent,,,Kent Conrad,1948-03-12,M,sen,ND,,1,Democrat,530 HART SENATE OFFICE BUILDING WASHINGTON DC 20510,C000705,1307,N00004613,S201,S6ND00058,2517,300026
Grams,Rod,,,,,1948-02-04,M,sen,MN,,1,Republican,,G000367,454,,S242,,,400560
Johnson,Clete,Donald,Jr.,Don,,1948-01-30,M,rep,GA,10,,Democrat,,J000120,598,,,,,406024
Northup,Anne,Meagher,,,,1948-01-22,F,rep,KY,3,,Republican,,N000143,1508,N00003392,,,,400294
Sarpalius,William,,,,,1948-01-10,M,rep,TX,13,,Democrat,,S000066,1018,,,,,409578
Wise,Robert,E.,Jr.,,,1948-01-06,M,rep,WV,2,,Democrat,,W000654,1237,,,,,400614
Bachus,Spencer,Thomas,III,,Spencer Bachus,1947-12-28,M,rep,AL,6,,Republican,2246 Rayburn HOB; Washington DC 20515-0106,B000013,38,N00008091,,H2AL06035,26397,400010
Daschle,Thomas,A.,,Tom,,1947-12-09,M,sen,SD,,3,Democrat,,D000064,267,N00004583,S185,,,300031
Richardson,William,Blaine,,,,1947-11-15,M,rep,NM,3,,Democrat,,R000229,958,,,,,409205
Phelps,David,,,,,1947-10-26,M,rep,IL,19,,Democrat,,P000584,1586,,,,,400519
Clinton,Hillary,Rodham,,,,1947-10-26,F,sen,NY,,1,Democrat,,C001041,1631,N00000019,S278,S0NY00188,,300022
Feighan,Edward,Farrell,,,,1947-10-22,M,rep,OH,19,,Democrat,,F000059,375,,,,,404019
Melancon,Charles,J.,,,,1947-10-03,M,rep,LA,3,,Democrat,,M001161,1786,N00026840,,H4LA03028,1011754,400635
Snyder,Victor,F.,,Vic,,1947-09-27,M,rep,AR,2,,Democrat,,S000672,1530,N00008188,,H6AR02203,45722,400383
Bartlett,Harry,Stephen,,Steve,,1947-09-19,M,rep,TX,3,,Republican,,B000204,61,,,,,401203
McNulty,Michael,R.,,,,1947-09-16,M,rep,NY,21,,Democrat,,M000590,785,N00001214,,H8NY23084,,400268
Kline,John,Paul,,,John Kline,1947-09-06,M,rep,MN,2,,Republican,2439 Rayburn HOB; Washington DC 20515-2302,K000363,1733,N00004436,,H8MN06047,1003596,400224
Huffington,Michael,,,,,1947-09-03,M,rep,CA,22,,Republican,,H000912,571,,,,,405758
Cramer,Robert,E.,Jr.,Bud,,1947-08-22,M,rep,AL,5,,Democrat,,C000868,247,N00003042,,H0AL05049,,400084
Moseley Braun,Carol,,,,,1947-08-16,F,sen,IL,,3,Democrat,,M001025,1405,,S226,,,407992
Weldon,W.,Curtis,,Curt,,1947-07-22,M,rep,PA,7,,Republican,,W000268,1214,N00001535,,,,400428
Cox,John,W.,Jr.,,,1947-07-10,M,rep,IL,16,,Democrat,,C000836,243,,,,,402953
Akin,W.,Todd,,,W. Todd Akin,1947-07-05,M,rep,MO,2,,Republican,117 Cannon HOB; Washington DC 20515-2502,A000358,1655,N00009677,,H0MO02148,87412,400005
Walsh,James,T.,,Jim,,1947-06-19,M,rep,NY,25,,Republican,,W000099,1197,N00001261,,H8NY27036,,400420
Napier,John,Light,,,,1947-05-16,M,rep,SC,6,,Republican,,N000005,852,,,,,408099
Lowery,William,David,,,,1947-05-02,M,rep,CA,41,,Republican,,L000479,708,,,,,406968
Ryun,Jim,R.,,,,1947-04-29,M,rep,KS,2,,Republican,,R000566,1521,N00005218,,,,400353
Fox,Jon,D.,,,,1947-04-22,M,rep,PA,13,,Republican,,F000332,406,,,,,404280
DeLay,Thomas,Dale,,Tom,,1947-04-08,M,rep,TX,22,,Republican,,D000217,282,N00005892,,,,400104
Schneider,Claudine,,,,,1947-03-25,F,rep,RI,2,,Republican,,S000136,1032,,,,,409644
Schiff,Steven,Harvey,,,,1947-03-18,M,rep,NM,1,,Republican,,S000125,1030,,,,,409633
McCarthy,Karen,,,,,1947-03-18,F,rep,MO,5,,Democrat,,M000316,756,N00005119,,,,400258
Jefferson,William,J.,,,,1947-03-14,M,rep,LA,2,,Democrat,,J000070,592,N00005353,,H0LA02119,,400201
Bryant,John,Wiley,,,,1947-02-22,M,rep,TX,5,,Democrat,,B000997,142,,,,,401947
Snowe,Olympia,J.,,,Olympia J. Snowe,1947-02-21,F,sen,ME,,1,Republican,154 RUSSELL SENATE OFFICE BUILDING WASHINGTON DC 20510,S000663,1085,N00000480,S245,S4ME00055,,300091
Gregg,Judd,A.,,,,1947-02-14,M,sen,NH,,3,Republican,,G000445,466,N00000444,S224,S2NH00025,,300049
Martini,William,J.,,,,1947-02-10,M,rep,NJ,8,,Republican,,M000207,744,,,,,407226
Quayle,James,Danforth,,Dan,,1947-02-04,M,sen,IN,,3,Republican,,Q000007,935,,,,,408970
Kuykendall,Steven,T.,,,,1947-01-27,M,rep,CA,36,,Republican,,K000357,1582,,,,,400592
Dayton,Mark,,,,,1947-01-26,M,sen,MN,,1,Democrat,,D000596,1629,N00013291,S280,,,300032
Shows,Ronnie,,,,,1947-01-26,M,rep,MS,4,,Democrat,,S001147,1565,,,,,400530
Baca,Joe,,,,Joe Baca,1947-01-23,M,rep,CA,43,,Democrat,2366 Rayburn HOB; Washington DC 20515-0543,B001234,1614,N00007089,,H6CA42099,81682,400009
DeWine,Michael,,,Mike,,1947-01-05,M,sen,OH,,1,Republican,,D000294,293,N00003709,S240,,,300033
Corzine,Jon,Stevens,,,,1947-01-01,M,sen,NJ,,1,Democrat,,C001042,1630,N00009945,S279,,,300028
Hill,Rick,,,,,1946-12-30,M,rep,MT,0,,Republican,,H000605,1489,N00004644,,,,400587
Trible,Paul,Seward,Jr.,,,1946-12-29,M,sen,VA,,1,Republican,,T000367,1169,,,,,410936
Johnson,Tim,P.,,,Tim Johnson,1946-12-28,M,sen,SD,,2,Democrat,136 Hart Senate Office Building Washington DC 20510,J000177,604,N00010084,S257,"S6SD00051,H6SD00044",2545,300058
Sessions,Jefferson,B.,,Jeff,Jeff Sessions,1946-12-24,M,sen,AL,,2,Republican,326 Russell Senate Office Building Washington DC 20510,S001141,1548,N00003062,S261,S6AL00195,44441,300088
Hayes,James,Allison,,,,1946-12-21,M,rep,LA,7,,Republican,,H000390,517,,,,,405258
Rodriguez,Ciro,D.,,,,1946-12-09,M,rep,TX,23,,Democrat,,R000568,1518,N00009828,,H8TX28013,48779,400339
Alexander,Rodney,M.,,,Rodney Alexander,1946-12-05,M,rep,LA,5,,Republican,316 Cannon HOB; Washington DC 20515-1805,A000361,1727,N00025464,,H2LA05084,1004256,400006
Cubin,Barbara,L.,,,,1946-11-30,F,rep,WY,0,,Republican,,C000962,254,N00006242,,H4WY00055,,400088
Coyne,James,Kitchenman,III,,,1946-11-17,M,rep,PA,8,,Republican,,C000845,244,,,,,402962
Brown,Corrine,,,,Corrine Brown,1946-11-11,F,rep,FL,5,,Democrat,2111 Rayburn HOB; Washington DC 20515-0905,B000911,132,N00002713,,"H2FL03056,S0FL00403",26192,400048
Stockman,David,Alan,,,,1946-11-10,M,rep,MI,4,,Republican,,S000935,1113,,,,4479,410394
Byrne,Leslie,Larkin,,,,1946-10-27,F,rep,VA,11,,Democrat,,B001213,161,,,,,402152
Martinez,Mel,,,,,1946-10-23,M,sen,FL,,3,Republican,,M001162,1769,N00026748,S304,S4FL00298,,400621
Goode,Virgil,H.,Jr.,,,1946-10-17,M,rep,VA,5,,Republican,,G000280,1486,N00002167,,H6VA05068,,400153
Kucinich,Dennis,J.,,,Dennis J. Kucinich,1946-10-08,M,rep,OH,10,,Democrat,2445 Rayburn HOB; Washington DC 20515-3510,K000336,1499,N00003572,,H6OH23033,45684,400227
Hagel,Charles,T.,,Chuck,,1946-10-04,M,sen,NE,,2,Republican,,H001028,1545,N00005301,S255,S6NE00087,,300050
Kostmayer,Peter,Houston,,,,1946-09-27,M,rep,PA,8,,Democrat,,K000319,649,,,,,406473
Lungren,Daniel,E.,,,Daniel E. Lungren,1946-09-22,M,rep,CA,3,,Republican,2313 Rayburn HOB; Washington DC 20515-0503,L000517,717,N00011971,,H6CA34112,,400617
Lewis,Ron,,,,,1946-09-14,M,rep,KY,2,,Republican,,L000293,689,N00003476,,H4KY02030,,400241
LaRocco,Larry,,,,,1946-08-25,M,rep,ID,1,,Democrat,,L000098,665,,,,,406605
Evans,David,Walter,,,,1946-08-17,M,rep,IN,6,,Democrat,,E000239,359,,,,,403923
Tallon,Robert,Mooneyhan,Jr.,Robin,,1946-08-08,M,rep,SC,6,,Democrat,,T000034,1136,,,,,410623
Loeffler,Thomas,Gilbert,,,,1946-08-01,M,rep,TX,21,,Republican,,L000396,700,,,,,406888
Boucher,Frederick,C.,,Rick,,1946-08-01,M,rep,VA,9,,Democrat,,B000657,113,N00002171,,H2VA09010,6736,400043
Bosco,Douglas,Harry,,,,1946-07-28,M,rep,CA,1,,Democrat,,B000648,112,,,,,401612
Johnson,Timothy,V.,,,Timothy V. Johnson,1946-07-23,M,rep,IL,15,,Republican,1207 Longworth HOB; Washington DC 20515-1315,J000285,1648,N00012890,,H0IL15053,1020365,400207
Broun,Paul,C.,Jr.,,Paul C. Broun,1946-05-14,M,rep,GA,10,,Republican,2437 Rayburn HOB; Washington DC 20515-1010,B001262,1882,N00028986,,"H8GA10049,S6GA00101,H0GA03017",1025092,412252
Cook,Merrill,,,,,1946-05-06,M,rep,UT,2,,Republican,,C000722,1475,,,,,400577
Ramstad,James,M.,,Jim,,1946-05-06,M,rep,MN,3,,Republican,,R000033,942,N00004484,,H0MN00013,,400332
Gilchrest,Wayne,T.,,,,1946-04-15,M,rep,MD,1,,Republican,,G000180,438,N00002012,,H8MD01037,,400149
Donnelly,Brian,Joseph,,,,1946-03-02,M,rep,MA,11,,Democrat,,D000416,304,,,,,403529
Webb,Jim,,,,Jim Webb,1946-02-09,M,sen,VA,,1,Democrat,248 RUSSELL SENATE OFFICE BUILDING WASHINGTON DC 20510,W000803,1822,N00028058,S315,S6VA00127,1914,412249
Turner,James,,,Jim,,1946-02-06,M,rep,TX,2,,Democrat,,T000424,1536,N00005731,,,,400410
Tancredo,Thomas,G.,,Tom,,1945-12-20,M,rep,CO,6,,Republican,,T000458,1592,N00006103,,H8CO06054,,400394
Sodrel,Michael,E.,,,,1945-12-17,M,rep,IN,9,,Republican,,S001160,1783,N00013869,,,,400632
LaHood,Ray,H.,,,,1945-12-06,M,rep,IL,18,,Republican,,L000552,659,N00004933,,H4IL18059,26394,400228
Moore,Dennis,,,,,1945-11-08,M,rep,KS,3,,Democrat,,M001140,1561,N00005233,,H8KS03049,57965,400282
Blouin,Michael,Thomas,,,,1945-11-07,M,rep,IA,2,,Democrat,,B000567,98,,,,,401540
Mrazek,Robert,Jan,,,,1945-11-06,M,rep,NY,3,,Democrat,,M001057,840,,,,,408023
Smith,Peter,P.,,,,1945-10-31,M,rep,VT,0,,Republican,,S000601,1081,,,,,410079
Poshard,Glenn,,,,,1945-10-30,M,rep,IL,19,,Democrat,,P000452,925,,,,,408839
Shays,Christopher,H.,,,,1945-10-18,M,rep,CT,4,,Republican,,S001144,1048,N00000652,,H8CT04057,,400370
Tejeda,Frank,Mariano,,,,1945-10-02,M,rep,TX,28,,Democrat,,T000113,1147,,,,,410695
Christensen,Donna,M.,,,Donna M. Christensen,1945-09-19,F,rep,VI,0,,Democrat,1510 Longworth HOB; Washington DC 20515-5501,C000380,1474,N00000133,,H4VI00054,48879,400073
Ridge,Thomas,Joseph,,,,1945-08-26,M,rep,PA,21,,Republican,,R000243,960,,,,,409219
Watt,Melvin,L.,,Mel,Melvin L. Watt,1945-08-26,M,rep,NC,12,,Democrat,2304 Rayburn HOB; Washington DC 20515-3312,W000207,1207,N00002328,,H2NC12021,25889,400424
Barber,Ron,,,,Ron Barber,1945-08-25,M,rep,AZ,2,,Democrat,1029 Longworth HOB; Washington DC 20515-0302,B001279,2093,N00033981,,H2AZ08094,31093,412502
Sawyer,Thomas,C.,,,,1945-08-15,M,rep,OH,14,,Democrat,,S000094,1022,,,,,400539
Hayes,Robin,C.,,,,1945-08-14,M,rep,NC,8,,Republican,,H001029,1600,N00002315,,H8NC08042,,400172
Cavanaugh,John,Joseph,,,,1945-08-01,M,rep,NE,2,,Democrat,,C000261,184,,,,,402405
Bailey,Donald,Allen,,,,1945-07-21,M,rep,PA,21,,Democrat,,B000037,43,,,,,401042
Craig,Larry,E.,,,,1945-07-20,M,sen,ID,,2,Republican,,C000858,246,N00002091,S215,S0ID00057,,300029
Payne,Lewis,Franklin,Jr.,,,1945-07-09,M,rep,VA,5,,Democrat,,P000152,903,,,,,408556
Harman,Jane,,,,,1945-06-28,F,rep,CA,36,,Democrat,,H000213,502,N00006750,,H2CA27107,16717,400166
Luther,William,,,,,1945-06-27,M,rep,MN,6,,Democrat,,L000521,718,,,,,400529
Kilpatrick,Carolyn,Cheeks,,,,1945-06-25,F,rep,MI,13,,Democrat,,K000180,1497,N00004005,,H6MI15127,,400217
Monson,David,Smith,,,,1945-06-20,M,rep,UT,2,,Republican,,M000860,826,,,,,407833
Cornwell,David,Lance,,,,1945-06-14,M,rep,IN,8,,Democrat,,C000787,236,,,,,402907
Bonior,David,E.,,,,1945-06-06,M,rep,MI,10,,Democrat,,B000619,108,,,,,400527
Boyd,Allen,,Jr.,,,1945-06-06,M,rep,FL,2,,Democrat,,B000716,1467,N00002743,,H6FL00046,46164,400044
Ford,Harold,Eugene,,,,1945-05-20,M,rep,TN,9,,Democrat,,F000261,400,,,,,404213
Herger,Walter,,,Wally,Wally Herger,1945-05-20,M,rep,CA,2,,Republican,242 Cannon HOB; Washington DC 20515-0502,H000528,533,N00007584,,H6CA02010,12557,400176
Miller,George,,,,George Miller,1945-05-17,M,rep,CA,11,,Democrat,2205 Rayburn HOB; Washington DC 20515-0511,M000725,808,N00007390,,H6CA07043,622,400278
Moran,James,P.,Jr.,Jim,James P. Moran,1945-05-16,M,rep,VA,8,,Democrat,2252 Rayburn HOB; Washington DC 20515-4608,M000933,832,N00002083,,H0VA08040,4269,400283
Gonzalez,Charles,A.,,Charlie,Charles A. Gonzalez,1945-05-05,M,rep,TX,20,,Democrat,1436 Longworth HOB; Washington DC 20515-4320,G000544,1555,N00005960,,H8TX20077,,400152
Allen,Thomas,H.,,Tom,,1945-04-16,M,rep,ME,1,,Democrat,,A000357,1461,N00000469,,H6ME01157,,400007
Frahm,Sheila,,,,,1945-03-22,F,sen,KS,,3,Republican,,F000438,1335,,S248,,,404281
Combest,Larry,,,,,1945-03-20,M,rep,TX,19,,Republican,,C000653,224,N00006055,,,,400079
Chapman,Jim,,,,,1945-03-08,M,rep,TX,1,,Democrat,,C000312,190,,,,,402454
Boner,William,Hill,,,,1945-02-14,M,rep,TN,5,,Democrat,,B000615,106,,,,,401582
Lampson,Nicholas,V.,,Nick,,1945-02-14,M,rep,TX,22,,Democrat,,L000043,1500,N00005928,,H6TX09033,,400229
Flake,Floyd,Harold,,,,1945-01-30,M,rep,NY,6,,Democrat,,F000184,388,,,,,404139
Schenk,Lynn,,,,,1945-01-05,F,rep,CA,49,,Democrat,,S000119,1027,,,,,409627
Gibbons,James,A.,,Jim,,1944-12-16,M,rep,NV,2,,Republican,,G000152,1485,N00006652,,,,400148
Leland,George,Thomas,,Mickey,,1944-11-27,M,rep,TX,18,,Democrat,,L000237,681,,,,,406740
Glickman,Daniel,Robert,,,,1944-11-24,M,rep,KS,4,,Democrat,,G000240,443,,,,,404602
Reyes,Silvestre,,,,Silvestre Reyes,1944-11-10,M,rep,TX,16,,Democrat,2210 Rayburn HOB; Washington DC 20515-4316,R000170,1516,N00006067,,H6TX00115,45744,400337
Hendon,William,Martin,,,,1944-11-09,M,rep,NC,11,,Republican,,H000490,531,,,,,405353
Collins,Michael,Allen,,Mac,,1944-10-15,M,rep,GA,8,,Republican,,C000640,222,N00002556,,,,400078
Morrison,Bruce,Andrew,,,,1944-10-08,M,rep,CT,3,,Democrat,,M000992,835,,,,,407960
Nethercutt,George,R.,Jr.,,,1944-10-07,M,rep,WA,5,,Republican,,N000051,860,N00008166,,,,400292
Riley,Bob,,,,,1944-10-03,M,rep,AL,3,,Republican,,R000258,1517,,,,,400501
Tanner,John,S.,,,,1944-09-22,M,rep,TN,8,,Democrat,,T000038,1137,N00003254,,H8TN08033,6116,400395
Crenshaw,Ander,,,,Ander Crenshaw,1944-09-01,M,rep,FL,4,,Republican,2161 Rayburn HOB; Washington DC 20515-0904,C001045,1643,N00012739,,H0FL04066,1007679,400086
Moffett,Anthony,John,Jr.,Toby,,1944-08-18,M,rep,CT,6,,Democrat,,M000839,821,,,,,407813
Zimmer,Richard,,,,,1944-08-16,M,rep,NJ,12,,Republican,,Z000008,1264,,,,,412001
Wellstone,Paul,David,,,,1944-07-21,M,sen,MN,,2,Democrat,,W000288,1454,,S217,,,400566
McCollum,Bill,,,,,1944-07-12,M,rep,FL,8,,Republican,,M000350,761,N00002791,,,,400596
Smith,Larkin,I.,,,,1944-06-26,M,rep,MS,5,,Republican,,S000584,1076,,,,,410064
Dodd,Christopher,J.,,,,1944-05-27,M,sen,CT,,3,Democrat,,D000388,302,N00000581,S150,S0CT00037,,300034
Funderburk,David,,,,,1944-04-28,M,rep,NC,2,,Republican,,F000426,421,,,,,404367
Martin,David,O’Brien,,,,1944-04-26,M,rep,NY,26,,Republican,,M000174,739,,,,,407196
Bruce,Terry,Lee,,,,1944-03-25,M,rep,IL,19,,Democrat,,B000971,140,,,,,401923
Manzullo,Donald,A.,,,Donald A. Manzullo,1944-03-24,M,rep,IL,16,,Republican,2228 Rayburn HOB; Washington DC 20515-1316,M001138,733,N00004905,,H0IL16085,26482,400252
Gallegly,Elton,W.,,,Elton Gallegly,1944-03-07,M,rep,CA,24,,Republican,2309 Rayburn HOB; Washington DC 20515-0524,G000021,425,N00007231,,H6CA21028,6712,400144
Breaux,John,B.,,,,1944-03-01,M,sen,LA,,3,Democrat,,B000780,120,N00005385,S179,,,300012
Kosmas,Suzanne,M.,,,,1944-02-25,F,rep,FL,24,,Democrat,,K000370,1917,N00029370,,H8FL24026,1030644,412288
Oxley,Michael,G.,,,,1944-02-11,M,rep,OH,4,,Republican,,O000163,885,N00003736,,,,400307
Andrews,Michael,Allen,,,,1944-02-07,M,rep,TX,25,,Democrat,,A000209,20,,,,,400882
Mica,Daniel,Andrew,,,,1944-02-04,M,rep,FL,14,,Democrat,,M000688,799,,,,,407673
Russo,Martin,Anthony,,,,1944-01-23,M,rep,IL,3,,Democrat,,R000543,1004,,,,,409500
McCarthy,Carolyn,,,,Carolyn McCarthy,1944-01-05,F,rep,NY,4,,Democrat,2346 Rayburn HOB; Washington DC 20515-3204,M000309,1503,N00001148,,H6NY04112,45040,400257
Kerry,John,Forbes,,,John F. Kerry,1943-12-11,M,sen,MA,,2,Democrat,218 RUSSELL SENATE OFFICE BUILDING WASHINGTON DC 20510,K000148,1379,N00000245,S173,S4MA00069,1485,300060
Allard,Wayne,A.,,,,1943-12-02,M,sen,CO,,2,Republican,,A000109,11,N00009082,S250,S6CO00168,,300003
Holloway,Clyde,Cecil,,,,1943-11-28,M,rep,LA,8,,Republican,,H000729,554,,,,,405580
Hagedorn,Thomas,Michael,,,,1943-11-27,M,rep,MN,2,,Republican,,H000012,481,,,,,404897
Kleczka,Gerald,D.,,Jerry,,1943-11-26,M,rep,WI,4,,Democrat,,K000259,637,N00004330,,,,400223
Darden,George,,,Buddy,,1943-11-22,M,rep,GA,7,,Democrat,,D000051,266,,,,,403190
Thomas,Robert,Lindsay,,,,1943-11-20,M,rep,GA,1,,Democrat,,T000184,1150,,,,,410765
Chambliss,Saxby,,,,Saxby Chambliss,1943-11-10,M,sen,GA,,2,Republican,416 Russell Senate Office Building Washington DC 20510,C000286,188,N00002685,S290,"S2GA00118,H2GA08038",36571,300021
Brown-Waite,Virginia,,,Ginny,,1943-10-05,F,rep,FL,5,,Republican,,B001247,1713,N00024777,,H2FL05127,1003557,400051
Roemer,Charles,Elson,III,Buddy,,1943-10-04,M,rep,LA,4,,Democrat,,R000384,975,,,,,409354
Bingaman,Jeff,,,,Jeff Bingaman,1943-10-03,M,sen,NM,,1,Democrat,703 HART SENATE OFFICE BUILDING WASHINGTON DC 20510,B000468,1285,N00006518,S167,S2NM00021,590,300009
Johnson,Jay,W.,,,,1943-09-30,M,rep,WI,8,,Democrat,,J000149,1496,,,,,406047
Kreidler,Myron,Bradford,,Mike,,1943-09-28,M,rep,WA,9,,Democrat,,K000328,652,,,,,406482
Clement,Robert,,,,,1943-09-23,M,rep,TN,5,,Democrat,,C000503,205,,,,,400548
Grant,James,William,,,,1943-09-21,M,rep,FL,2,,Republican,,G000382,456,,,,,404733
Davis,Lincoln,,,,,1943-09-13,M,rep,TN,4,,Democrat,,D000599,1747,N00003264,,H4TN06051,1003615,400096
Rhodes,John,Jacob,III,,,1943-09-08,M,rep,AZ,1,,Republican,,R000189,956,,,,,409165
Barnes,Michael,Darr,,,,1943-09-03,M,rep,MD,8,,Democrat,,B000160,55,,,,,401162
Mattox,James,Albon,,,,1943-08-29,M,rep,TX,5,,Democrat,,M000260,750,,,,,407278
Kerrey,J.,Robert,,,,1943-08-27,M,sen,NE,,1,Democrat,,K000146,1378,,S208,,,400561
Faleomavaega,Eni,F. H.,,,Eni F. H. Faleomavaega,1943-08-15,M,rep,AS,0,,Democrat,2422 Rayburn HOB; Washington DC 20515-5201,F000010,367,N00007632,,H0AS00018,6713,400128
Caputo,Bruce,Faulkner,,,,1943-08-07,M,rep,NY,23,,Republican,,C000137,173,,,,,402287
Bradley,William,Warren,,Bill,,1943-07-28,M,sen,NJ,,2,Democrat,,B001225,1289,,S132,,,401709
Dowdy,Charles,Wayne,,,,1943-07-27,M,rep,MS,4,,Democrat,,D000466,313,,,,,403576
Hutchison,Kay,Bailey,,,Kay Bailey Hutchison,1943-07-22,F,sen,TX,,1,Republican,284 RUSSELL SENATE OFFICE BUILDING WASHINGTON DC 20510,H001016,1368,N00005675,S235,S4TX00086,24713,300054
Dunn,James,Whitney,,,,1943-07-21,M,rep,MI,6,,Republican,,D000548,325,,,,,403656
Pastor,Ed,,,,Ed Pastor,1943-06-28,M,rep,AZ,7,,Democrat,2465 Rayburn HOB; Washington DC 20515-0307,P000099,893,N00006397,,H2AZ02055,20628,400310
